textID,text,sentiment,predicted_sentiment
50e14c0bb8,Soooo high,neutral,positive
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,negative
af3fed7fc3,is back home now      gonna miss every one,negative,neutral
40e7becabf,Hes just not that into you,neutral,negative
04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,negative
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,negative
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,negative
bdc32ea43c,On the way to Malaysia...no internet access to Twit,negative,neutral
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,positive
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,positive
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,positive
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,positive
d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,negative
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,positive
a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,negative
15d5f3a41b," also bored at school, its my third freelesson( freistunde )",neutral,negative
703afdc44b,Aw. Torn ace of hearts  #Hunchback,negative,neutral
90f3d2b572, what fun are you speaking of?,neutral,positive
a4b0888da6, haha yes,neutral,positive
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,positive
fa2654e730,Chilliin,positive,neutral
4213627c3c,I still smell of smoke  #kitchenfire,neutral,negative
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,positive
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,positive
ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...",neutral,negative
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral,positive
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,negative
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,negative,positive
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,neutral,negative
15e01e1749," Certainly not Cheers than, huh?",neutral,negative
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,negative,positive
327a009a7d,at least I get to watch over time  Let`s go Pens!!,neutral,positive
9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral,positive
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,negative
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,negative
9d2cffd953," I had it! On my itunes, but then I lost all my songs.",neutral,negative
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,negative
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,positive
