textID,original,sentiment,prefix,completion,combined,judged_value,match
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE HATES,ME,<sentiment: negative>I THINK EVERYONE HATES ME,negative,yes
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive> Yay for Block Party!  You`re the BOMB,!,<sentiment: positive> Yay for Block Party!  You`re the BOMB !,positive,yes
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive> you guys didn`t say hi or,anything,<sentiment: positive> you guys didn`t say hi or anything,negative,no
c7f9d559e2,Happy mothers day mumm  xoxo,positive,<sentiment: positive>Happy mothers day mumm,ie,<sentiment: positive>Happy mothers day mumm ie,positive,yes
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative> 4n? ma rog  never heard of,it,<sentiment: negative> 4n? ma rog  never heard of it,neutral,no
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,<sentiment: neutral> U so dirrrrrty... Why oh why did I pick the Hawks,?,<sentiment: neutral> U so dirrrrrty... Why oh why did I pick the Hawks ?,negative,no
ddc07db84e,  Hope ur havin fun in da club,positive,<sentiment: positive>  Hope ur havin fun,!,<sentiment: positive>  Hope ur havin fun !,positive,yes
972dc5787d,_LaMont yr very young looking dude,positive,<sentiment: positive>_LaMont yr very,welcome!,<sentiment: positive>_LaMont yr very welcome!,positive,yes
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,<sentiment: negative>Tracy and Berwick breaks my achy break,y heart,<sentiment: negative>Tracy and Berwick breaks my achy break y heart,negative,yes
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,"<sentiment: positive> You seem nice, you`",re welcome,"<sentiment: positive> You seem nice, you` re welcome",positive,yes
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting",day at work,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting day at work",positive,yes
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative> soooooo wish i could, but",i have to work,"<sentiment: negative> soooooo wish i could, but i have to work",negative,yes
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,<sentiment: neutral>resorted to eating Mickey D,s for dinner,<sentiment: neutral>resorted to eating Mickey D s for dinner,negative,no
9b1a52cc02, where`d you go!,neutral,<sentiment: neutral> where`d,you get that?,<sentiment: neutral> where`d you get that?,neutral,yes
1e46d72ec6," yep, i wish they were all playing dubiln",positive,"<sentiment: positive> yep, i wish they",were still together,"<sentiment: positive> yep, i wish they were still together",negative,no
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,<sentiment: neutral>Should have left car and walked home! I,have a headache,<sentiment: neutral>Should have left car and walked home! I have a headache,negative,no
8be365118e, you are lame  go make me breakfast!!,negative,<sentiment: negative> you are lame  go make,me a sandwich,<sentiment: negative> you are lame  go make me a sandwich,negative,yes
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral> im a lady and ladies don`t move,in with their boyfriends,<sentiment: neutral> im a lady and ladies don`t move in with their boyfriends,negative,no
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a,little bit of country music,<sentiment: neutral>Is watching acoustic performances! & In the mood for a little bit of country music,positive,no
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral> you should totally come get me and bring,me to the party,<sentiment: neutral> you should totally come get me and bring me to the party,positive,no
