textID,original,sentiment,prefix,completion,combined,judged_value,match
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive> Yay for Block Party!  You`re the BOMB,!,<sentiment: positive> Yay for Block Party!  You`re the BOMB!,positive,yes
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative> 4n? ma rog  never heard of,it,<sentiment: negative> 4n? ma rog  never heard ofit,neutral,no
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral> did he ask for your Twitter,name?,<sentiment: neutral> did he ask for your Twittername?,neutral,yes
8be365118e, you are lame  go make me breakfast!!,negative,<sentiment: negative> you are lame  go make,me a sandwich,<sentiment: negative> you are lame  go makeme a sandwich,negative,yes
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole,is bleeding,<sentiment: negative>Its coming out the socket  I feel like my phones holeis bleeding,negative,yes
c7f9d559e2,Happy mothers day mumm  xoxo,positive,<sentiment: positive>Happy mothers day mumm,z!,<sentiment: positive>Happy mothers day mummz!,positive,yes
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting",day!,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an excitingday!",positive,yes
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE HATES,ME!,<sentiment: negative>I THINK EVERYONE HATESME!,negative,yes
00d5195223,Cramps . . .,negative,<sentiment: negative>Cramps,are killing me,<sentiment: negative>Crampsare killing me,negative,yes
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a,new song!,<sentiment: neutral>Is watching acoustic performances! & In the mood for anew song!,positive,no
43b390b336, I checked.  We didn`t win,neutral,<sentiment: neutral> I checked.  We,are not related.,<sentiment: neutral> I checked.  Weare not related.,neutral,yes
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,"<sentiment: negative> for...the...loss. dumbface ...him, not u.",i love u.,"<sentiment: negative> for...the...loss. dumbface ...him, not u.i love u.",negative,yes
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am",not that cool,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I amnot that cool",negative,no
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,"<sentiment: positive>On the monday, so i wont be",in the office today,"<sentiment: positive>On the monday, so i wont bein the office today",neutral,no
e591a725ef, i still dont know what we would do though,neutral,<sentiment: neutral> i still dont know what we,are doing tonight,<sentiment: neutral> i still dont know what weare doing tonight,neutral,yes
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,<sentiment: positive> Ur so cute..I`m a fan of Dream A Little Dream,2..,<sentiment: positive> Ur so cute..I`m a fan of Dream A Little Dream2..,positive,yes
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,<sentiment: neutral> TGIF is right...I think I broke,my phone...,<sentiment: neutral> TGIF is right...I think I brokemy phone...,negative,no
9b1a52cc02, where`d you go!,neutral,<sentiment: neutral> where`d,you get that?,<sentiment: neutral> where`dyou get that?,neutral,yes
1e46d72ec6," yep, i wish they were all playing dubiln",positive,"<sentiment: positive> yep, i wish they",were all mine,"<sentiment: positive> yep, i wish theywere all mine",positive,yes
ddc07db84e,  Hope ur havin fun in da club,positive,<sentiment: positive>  Hope ur havin fun,I miss u,<sentiment: positive>  Hope ur havin funI miss u,positive,yes
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral> lol man i got 2 1 /2 hrs an iont,even doin nothin,<sentiment: neutral> lol man i got 2 1 /2 hrs an ionteven doin nothin,neutral,yes
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral> im a lady and ladies don`t move,their own furniture  lol,<sentiment: neutral> im a lady and ladies don`t movetheir own furniture  lol,neutral,yes
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,"<sentiment: neutral>_xo   dang it, so its",not just me then,"<sentiment: neutral>_xo   dang it, so itsnot just me then",negative,no
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps,at him  haha,<sentiment: neutral>i`m only updating this so that brett`s phone beepsat him  haha,positive,no
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,<sentiment: neutral>i miss my old phone it worked so good until i,dropped it and it broke,<sentiment: neutral>i miss my old phone it worked so good until idropped it and it broke,negative,no
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral> I always forget SOMETHING when,I go out.,<sentiment: neutral> I always forget SOMETHING whenI go out.,negative,no
