textID,original,sentiment,prefix,completion,combined,judged_value,match
96d74cb729,Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal,"ore, but I`m not a fan of the pollution and the food)","<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers galore, but I`m not a fan of the pollution and the food)",negative,no
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,"<sentiment: negative>Recession hit Veronique Branquinho,"," the fashion designer, she closed her shop in Paris","<sentiment: negative>Recession hit Veronique Branquinho, the fashion designer, she closed her shop in Paris",negative,yes
33987a8ee5,{link} - I like it!!,positive,<sentiment: positive>{link} -, that is so cute!,<sentiment: positive>{link} - that is so cute!,positive,yes
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE H,ATES ME RIGHT NOW.,<sentiment: negative>I THINK EVERYONE HATES ME RIGHT NOW.,negative,yes
afa11da83f,"soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative>soooooo wish i could, but", im stuck in the office until 5,"<sentiment: negative>soooooo wish i could, but im stuck in the office until 5",negative,yes
37bcad24ca,What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral>What did you get?  My day is alright.. haven,"`t seen my best friend in a while, though.","<sentiment: neutral>What did you get?  My day is alright.. haven`t seen my best friend in a while, though.",neutral,yes
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should, have been here 2 days ago...,<sentiment: negative>My bike was put on hold...should have been here 2 days ago...,negative,yes
43b390b336,I checked.  We didn`t win,neutral,<sentiment: neutral>I checked. , It was not.,<sentiment: neutral>I checked.  It was not.,neutral,yes
69d6b5d93e,.. and you`re on twitter! Did the tavern bore you that much?,neutral,<sentiment: neutral>.. and you`re on twitter!,  I`m not on there at all,<sentiment: neutral>.. and you`re on twitter!  I`m not on there at all,neutral,yes
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......", and I`m missing it.  I`m so sad.  {link},"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow...... and I`m missing it.  I`m so sad.  {link}",negative,yes
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is, going to be sore for a while. I hate my phone.,<sentiment: negative>Its coming out the socket  I feel like my phones hole is going to be sore for a while. I hate my phone.,negative,yes
