id,date,original,sentiment,prefix,orig_without_prefix,completion,combined,cosine_sim
481132722501730305,2014-06-23 17:52:34+00:00,"""@jimrcottage @timbdickson @realDonaldTrump @sternshow He was on Howard Stern last week. Awesome interview!"""" Thank you.""",positive,"""@jimrcottage @timbdickson @realDonaldTrump @sternshow He was on Howard Stern last week. Awesome","interview!"""" Thank you.""","interview.""","""@jimrcottage @timbdickson @realDonaldTrump @sternshow He was on Howard Stern last week. Awesome interview.""",0.17294426262378693
651182319051476993,2015-10-05 23:48:57+00:00,"""@marklevinshow: Donald Trump will be on my show tonight at 8:30 PM eastern time."""" Will be my great honor, so much to talk about!""",positive,"""@marklevinshow: Donald Trump will be on my show tonight at 8:30 PM eastern time."""" Will be my great","honor, so much to talk about!""","honor!""","""@marklevinshow: Donald Trump will be on my show tonight at 8:30 PM eastern time."""" Will be my great honor!""",0.27879205346107483
646683914216546304,2015-09-23 13:53:54+00:00,".@JuliInkster Congratulations on your great win--what a captain, what a champion!",positive,.@JuliInkster Congratulations on your great win--what,"a captain, what a champion!",a comeback!,.@JuliInkster Congratulations on your great win--what a comeback!,0.20037397742271423
1201455859731238912,2019-12-02 10:59:33+00:00,".....Reserve should likewise act so that countries, of which there are many, no longer take advantage of our strong dollar by further devaluing their currencies. This makes it very hard for our manufactures &, farmers to fairly export their goods. Lower Rates &, Loosen - Fed!",negative,".....Reserve should likewise act so that countries, of which there are many, no longer take advantage of our strong dollar by further devaluing their currencies. This makes it very hard for our manufactures &, farmers to fairly export their goods.","Lower Rates &, Loosen - Fed!",Lower our taxes!,".....Reserve should likewise act so that countries, of which there are many, no longer take advantage of our strong dollar by further devaluing their currencies. This makes it very hard for our manufactures &, farmers to fairly export their goods. Lower our taxes!",0.20176325738430023
1320491200495968256,2020-10-25 22:23:30+00:00,"RT @WhiteHouse: While past Presidents have relied mostly on top-down policy tools, President @realDonaldTrump has worked hard on job creatiÃ¢ÂÂ¦",neutral,"RT @WhiteHouse: While past Presidents have relied mostly on top-down policy tools, President @realDonaldTrump has worked hard",on job creatiÃ¢ÂÂ¦,to empower thÃ¢ÂÂ¦,"RT @WhiteHouse: While past Presidents have relied mostly on top-down policy tools, President @realDonaldTrump has worked hard to empower thÃ¢ÂÂ¦",0.06902435421943665
1019903123312308224,2018-07-19 11:13:48+00:00,Ã¢ÂÂTrump recognized Russian Meddling MANY TIMES.Ã¢ÂÂ Thank you to @foxandfriends and @FoxNews for actually showing the clips. The Fake News wants no part of that narrative! Too bad they donÃ¢ÂÂt want to focus on all of the ECONOMIC and JOBS records being set.,negative,Ã¢ÂÂTrump recognized Russian Meddling MANY TIMES.Ã¢ÂÂ Thank you to @foxandfriends and @FoxNews for actually showing the clips. The Fake News wants no part of that narrative! Too bad they donÃ¢ÂÂt,want to focus on all of the ECONOMIC and JOBS records being set.,put out the truth.,Ã¢ÂÂTrump recognized Russian Meddling MANY TIMES.Ã¢ÂÂ Thank you to @foxandfriends and @FoxNews for actually showing the clips. The Fake News wants no part of that narrative! Too bad they donÃ¢ÂÂt put out the truth.,0.16977447271347046
616824197252296704,2015-07-03 04:22:03+00:00,"""@jharwood14: If Reagan, a Hollywood actor, was president, then your chances are strong. It sure would be nice to have an """"honest"""" POTUS.""",positive,"""@jharwood14: If Reagan, a Hollywood actor, was president, then your chances are","strong. It sure would be nice to have an """"honest"""" POTUS.""","good. #Trump2016""","""@jharwood14: If Reagan, a Hollywood actor, was president, then your chances are good. #Trump2016""",0.25705164670944214
401282299805065216,2013-11-15 09:35:30+00:00,"""@Bill_Collector_: @realDonaldTrump we need you as the next president! Your a winner!!!"""" Thank you.""",positive,"""@Bill_Collector_: @realDonaldTrump we need you as","the next president! Your a winner!!!"""" Thank you.""","president. #Trump2016""","""@Bill_Collector_: @realDonaldTrump we need you as president. #Trump2016""",0.43767020106315613
595414049749340161,2015-05-05 02:25:46+00:00,"""@mortimerzilch: @realDonaldTrump @steveman905 we don't know if Hil will get the Dem nomination. But Donald gives me hope.""",positive,"""@mortimerzilch: @realDonaldTrump @steveman905 we don't know if Hil will get the Dem nomination. But Donald","gives me hope.""","will get the GOP nomination.""","""@mortimerzilch: @realDonaldTrump @steveman905 we don't know if Hil will get the Dem nomination. But Donald will get the GOP nomination.""",0.4639666676521301
585243610959978496,2015-04-07 00:52:04+00:00,"""@ShapiroJD: @realDonaldTrump You should be on #SharkTank as a guest star. #Trump2016 #kingofthedeal"""" Nice show!""",positive,"""@ShapiroJD: @realDonaldTrump You should be on #SharkTank as a guest star.","#Trump2016 #kingofthedeal"""" Nice show!""","You'd be a huge hit.""","""@ShapiroJD: @realDonaldTrump You should be on #SharkTank as a guest star. You'd be a huge hit.""",0.22112376987934113
