id,date,original,sentiment,prefix,orig_without_prefix,completion,combined,cosine_sim
692551355920158722,2016-01-28 03:34:44+00:00,FOX debate advertising rates falling like a rock! Tune into my special event for the Veterans at 9pm EST!,neutral,FOX debate advertising rates falling like,a rock! Tune into my special event for the Veterans at 9pm EST!,a rock,FOX debate advertising rates falling like a rock,0.016286659985780716
481132722501730305,2014-06-23 17:52:34+00:00,"""@jimrcottage @timbdickson @realDonaldTrump @sternshow He was on Howard Stern last week. Awesome interview!"""" Thank you.""",positive,"""@jimrcottage @timbdickson @realDonaldTrump @sternshow He was on Howard Stern last week. Awesome","interview!"""" Thank you.""","interview!""","""@jimrcottage @timbdickson @realDonaldTrump @sternshow He was on Howard Stern last week. Awesome interview!""",0.22624774277210236
298846966853545984,2013-02-05 17:34:03+00:00,"Ask: Is there anyone else who can do this better than I can?Thatâs just another way of saying know yourself &, know your competition.",neutral,Ask: Is there anyone else who can do this better than I,"can?Thatâs just another way of saying know yourself &, know your competition.",can?,Ask: Is there anyone else who can do this better than I can?,0.27607402205467224
651182319051476993,2015-10-05 23:48:57+00:00,"""@marklevinshow: Donald Trump will be on my show tonight at 8:30 PM eastern time."""" Will be my great honor, so much to talk about!""",positive,"""@marklevinshow: Donald Trump will be on my show tonight at 8:30 PM eastern time."""" Will be my great","honor, so much to talk about!""","honor!""","""@marklevinshow: Donald Trump will be on my show tonight at 8:30 PM eastern time."""" Will be my great honor!""",0.27879205346107483
1259495673768148996,2020-05-10 14:49:03+00:00,"RT @ByronYork: From @Jim_Jordan: 'A Look Back On The Russia, Mueller, And Flynn Investigations.' He cuts to the chase. https://t.co/hR4jf0oâ¦",neutral,"RT @ByronYork: From @Jim_Jordan: 'A Look Back On The Russia, Mueller, And Flynn",Investigations.' He cuts to the chase. https://t.co/hR4jf0oâ¦,Investigations',"RT @ByronYork: From @Jim_Jordan: 'A Look Back On The Russia, Mueller, And Flynn Investigations'",0.22415229678153992
885131482397908992,2017-07-12 13:39:25+00:00,"The W.H. is functioning perfectly, focused on HealthCare, Tax Cuts/Reform &, many other things. I have very little time for watching T.V.",positive,"The W.H. is functioning perfectly,","focused on HealthCare, Tax Cuts/Reform &, many other things. I have very little time for watching T.V.",thank you!,"The W.H. is functioning perfectly, thank you!",0.10204287618398666
1320491200495968256,2020-10-25 22:23:30+00:00,"RT @WhiteHouse: While past Presidents have relied mostly on top-down policy tools, President @realDonaldTrump has worked hard on job creatiâ¦",neutral,"RT @WhiteHouse: While past Presidents have relied mostly on top-down policy tools, President @realDonaldTrump has worked hard",on job creatiâ¦,to empower...,"RT @WhiteHouse: While past Presidents have relied mostly on top-down policy tools, President @realDonaldTrump has worked hard to empower...",0.051305413246154785
458733723555758080,2014-04-22 22:26:57+00:00,.@McIlroyRory Thanks for your nice note - they love you at Trump National Doral. You are looking good - will have a GREAT year!,positive,.@McIlroyRory Thanks for your nice note - they love you at,Trump National Doral. You are looking good - will have a GREAT year!,the White House!,.@McIlroyRory Thanks for your nice note - they love you at the White House!,0.09492263197898865
1234841094745137154,2020-03-03 14:00:33+00:00,"New book by @charliekirk11, already number 1, âThe MAGA Doctrineâ. Really great, SUPPORT CHARLIE KIRK. Buy now!",positive,"New book by @charliekirk11, already number 1, âThe MAGA Doctrineâ. Really great, SUPPORT",CHARLIE KIRK. Buy now!,CHARLIE!,"New book by @charliekirk11, already number 1, âThe MAGA Doctrineâ. Really great, SUPPORT CHARLIE!",0.15066291391849518
1177178426115076096,2019-09-26 11:09:42+00:00,RT @DonaldJTrumpJr: Watching the media circle the wagons and desperately try to defend the Biden family for things they try to kill my fami...,negative,RT @DonaldJTrumpJr: Watching the media circle the wagons and desperately try to defend the Biden family for things they,try to kill my fami...,know are true is...,RT @DonaldJTrumpJr: Watching the media circle the wagons and desperately try to defend the Biden family for things they know are true is...,0.09333530068397522
