textID,original,sentiment,prefix,completion,combined,cosine_sim
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,<sentiment: neutral>Last session of the day  http://,yfrog.com/0zjja,<sentiment: neutral>Last session of the day  http://yfrog.com/0zjja,0.1848212480545044
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal,ore) but I`m not going there until next year.  Thanks!,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers galore) but I`m not going there until next year.  Thanks!,0.18392634391784668
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,"<sentiment: negative>Recession hit Veronique Branquinho,", the fashion brand I love so much... sad day,"<sentiment: negative>Recession hit Veronique Branquinho, the fashion brand I love so much... sad day",0.12462984025478363
01082688c6, happy bday!,positive,<sentiment: positive>happy, birthday to me,<sentiment: positive>happy birthday to me,0.12170234322547913
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,<sentiment: positive>http://twitpic.com/4,w0q5 - I love it,<sentiment: positive>http://twitpic.com/4w0q5 - I love it,0.19857555627822876
726e501993, that`s great!! weee!! visitors!,positive,<sentiment: positive>that`s great!!, congrats to you both,<sentiment: positive>that`s great!! congrats to you both,0.17006182670593262
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE H,ATES ME RIGHT NOW.,<sentiment: negative>I THINK EVERYONE HATES ME RIGHT NOW.,0.12684497237205505
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative>soooooo wish i could, but", unfortunately i`m in the UK!,"<sentiment: negative>soooooo wish i could, but unfortunately i`m in the UK!",0.14180946350097656
e64208b4ef, and within a short time of the last clue all of them,neutral,<sentiment: neutral>and within a short time of," each other too, poor thing","<sentiment: neutral>and within a short time of each other too, poor thing",0.19539564847946167
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral>What did you get?  My day is alright.. haven,"`t had lunch yet, so I`m a little hungry.","<sentiment: neutral>What did you get?  My day is alright.. haven`t had lunch yet, so I`m a little hungry.",0.2764889597892761
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should, have been here 2 days ago!,<sentiment: negative>My bike was put on hold...should have been here 2 days ago!,0.1434721052646637
43b390b336, I checked.  We didn`t win,neutral,<sentiment: neutral>I checked. , It`s not.,<sentiment: neutral>I checked.  It`s not.,0.26868975162506104
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral,<sentiment: neutral>.. and you`re on twitter!,   I`m not on twitter.,<sentiment: neutral>.. and you`re on twitter!   I`m not on twitter.,0.5343151092529297
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......", and I`m missing my oldest son`s graduation from boot camp in San Diego,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow...... and I`m missing my oldest son`s graduation from boot camp in San Diego",0.30972808599472046
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is, going to be sore for a while.  #badtimes.,<sentiment: negative>Its coming out the socket  I feel like my phones hole is going to be sore for a while.  #badtimes.,0.18714401125907898
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,<sentiment: negative>So hot today =_=  don`t like it and, don`t want to go to school tomorrow  xD,<sentiment: negative>So hot today =_=  don`t like it and don`t want to go to school tomorrow  xD,0.296922892332077
9fce30159a, Miss you,negative,<sentiment: negative>Miss, my baby,<sentiment: negative>Miss my baby,0.16791611909866333
00d5195223,Cramps . . .,negative,<sentiment: negative>Cramps, are the worst,<sentiment: negative>Cramps are the worst,0.1780092716217041
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive>you guys didn`t say hi or answer, my text.  i feel neglected.,<sentiment: positive>you guys didn`t say hi or answer my text.  i feel neglected.,0.26495805382728577
