textID,original,sentiment,prefix,completion,combined,orig_without_prefix,nli_label,nli_score
96d74cb729,Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal,"ore, but I`m not a fan of the pollution and the food)","<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers galore, but I`m not a fan of the pollution and the food)",re). Good tweeps in China:  (SH)  (BJ).,neutral,0.9604636
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,"<sentiment: negative>Recession hit Veronique Branquinho,"," the fashion designer, she closed her shop in Paris","<sentiment: negative>Recession hit Veronique Branquinho, the fashion designer, she closed her shop in Paris","she has to quit her company, such a shame!",neutral,0.9737821
33987a8ee5,{link} - I like it!!,positive,<sentiment: positive>{link} -, that is so cute!,<sentiment: positive>{link} - that is so cute!,I like it!!,neutral,0.9717397
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE H,ATES ME RIGHT NOW.,<sentiment: negative>I THINK EVERYONE HATES ME RIGHT NOW.,TES ME ON HERE   lol,neutral,0.701498
afa11da83f,"soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative>soooooo wish i could, but", im stuck in the office until 5,"<sentiment: negative>soooooo wish i could, but im stuck in the office until 5",im in school and myspace is completely blocked,neutral,0.9903598
37bcad24ca,What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral>What did you get?  My day is alright.. haven,"`t seen my best friend in a while, though.","<sentiment: neutral>What did you get?  My day is alright.. haven`t seen my best friend in a while, though.",t done anything yet. leaving soon to my stepsister though!,neutral,0.99693054
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should, have been here 2 days ago...,<sentiment: negative>My bike was put on hold...should have been here 2 days ago...,have known that.... argh total bummer,neutral,0.8824272
43b390b336,I checked.  We didn`t win,neutral,<sentiment: neutral>I checked. , It was not.,<sentiment: neutral>I checked.  It was not.,We didn`t win,neutral,0.5927726
69d6b5d93e,.. and you`re on twitter! Did the tavern bore you that much?,neutral,<sentiment: neutral>.. and you`re on twitter!,  I`m not on there at all,<sentiment: neutral>.. and you`re on twitter!  I`m not on there at all,Did the tavern bore you that much?,contradiction,0.842816
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......", and I`m missing it.  I`m so sad.  {link},"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow...... and I`m missing it.  I`m so sad.  {link}","t makes me kinda sad, he is getting so big, check out my twipics",neutral,0.97482544
